branch_name,location,warehouse_address
Mumbai Central Branch,"Mumbai, Maharashtra","Warehouse 12, MIDC, Andheri East, Mumbai 400093"
Delhi Connaught Branch,"New Delhi, Delhi","Plot 45, Okhla Industrial Area Phase 2, Delhi 110020"
Bengaluru Store,"Bengaluru, Karnataka","Shed 7, Peenya Industrial Estate, Bengaluru 560058"
Chennai Anna Nagar,"Chennai, Tamil Nadu","Survey 88, Ambattur Industrial Estate, Chennai 600058"
Hyderabad Hitech City,"Hyderabad, Telangana","Unit 3, IDA Nacharam, Hyderabad 500076"
Pune Branch,"Pune, Maharashtra","Gat No 204, Chakan Industrial Area, Pune 410501"
Ahmedabad GIDC Branch,"Ahmedabad, Gujarat","Plot 112, GIDC Vatva, Ahmedabad 382445"
Kolkata Salt Lake,"Kolkata, West Bengal","Block EP, Sector V, Salt Lake, Kolkata 700091"
Jaipur Malviya Nagar,"Jaipur, Rajasthan","F-142, Road 14, VKI Area, Jaipur 302013"
Surat Diamond Naka,"Surat, Gujarat","Plot 23, Sachin GIDC, Surat 394230"
Lucknow Gomti Nagar,"Lucknow, Uttar Pradesh","C-Block, Talkatora Ind. Area, Lucknow 226011"
Chandigarh Phase 2,"Chandigarh, Punjab","Plot 145, Phase 2, Industrial Area, Chandigarh 160002"
